canela,cinnamon,Color marrón cálido como la especia,Warm brown color like the spice,colores,advanced
seda,silk,Tela suave y brillante de origen animal,Soft shiny fabric of animal origin,materiales,beginner
lana,wool,Fibra natural del pelo de oveja,Natural fiber from sheep hair,materiales,beginner
lino,linen,Tela fresca hecha de la planta del lino,Cool fabric made from the flax plant,materiales,beginner
cuero,leather,Material resistente hecho de piel animal,Resistant material made from animal skin,materiales,beginner
raso,satin,Tela brillante y lisa al tacto,Shiny and smooth fabric to the touch,materiales,advanced
tul,tulle,Tela fina y transparente tipo red,Fine transparent net-like fabric,materiales,advanced
ante,suede,Cuero con superficie aterciopelada,Leather with a velvety surface,materiales,advanced
fieltro,felt,Tela gruesa hecha de fibras prensadas,Thick fabric made from pressed fibers,materiales,advanced
nailon,nylon,Fibra sintética muy resistente,Very resistant synthetic fiber,materiales,advanced
rayon,rayon,Fibra semisintética suave y absorbente,Soft and absorbent semi-synthetic fiber,materiales,advanced
pana,cord,Tela con líneas verticales en relieve,Fabric with raised vertical lines,materiales,advanced
gamuza,chamois,Material suave usado para limpiar y vestir,Soft material used for cleaning and clothing,materiales,advanced
poplin,poplin,Tela ligera de tejido cerrado,Lightweight tightly woven fabric,materiales,advanced
crespo,crepe,Tela con textura arrugada y ondulada,Fabric with wrinkled wavy texture,materiales,advanced
manta,fleece,Tela gruesa y cálida para abrigo,Thick warm fabric for warmth,materiales,beginner
yute,jute,Fibra vegetal áspera para sacos,Rough plant fiber used for sacks,materiales,advanced
drill,drill,Tela resistente de algodón diagonal,Resistant diagonal cotton fabric,materiales,advanced
organza,organza,Tela fina transparente y rígida,Fine transparent and stiff fabric,materiales,advanced
batista,batiste,Tela muy fina y delicada de algodón,Very fine and delicate cotton fabric,materiales,advanced
cretona,chintz,Tela de algodón estampada y gruesa,Printed thick cotton fabric,materiales,advanced
dril,twill,Tejido diagonal resistente y duradero,Resistant and durable diagonal weave,materiales,advanced
piel,hide,Material natural de origen animal,Natural material of animal origin,materiales,beginner
hilo,thread,Fibra delgada para coser y tejer,Thin fiber for sewing and weaving,materiales,beginner
rejilla,mesh,Tejido abierto con forma de red,Open weave in net form,materiales,advanced
punto,knit,Tejido elástico hecho con agujas,Elastic fabric made with needles,materiales,beginner
polar,polar,Tela sintética suave y muy cálida,Soft and very warm synthetic fabric,materiales,beginner
lycra,lycra,Fibra elástica para ropa deportiva,Elastic fiber for sportswear,materiales,advanced
modal,modal,Fibra suave derivada de la celulosa,Soft fiber derived from cellulose,materiales,advanced
lame,lame,Tela con hilos metálicos brillantes,Fabric with shiny metallic threads,materiales,advanced
tencel,tencel,Fibra ecológica suave de eucalipto,Soft ecological fiber from eucalyptus,materiales,advanced
